번호,대분류,중분류,소분류,기능명,기능 설명,사전조건,사용자 조작 방법,기대 결과,비고
1,로그인,로그인 페이지,페이지 접근,로그인 화면 표시,"시스템 접속 시 가장 먼저 보이는 화면. 이메일/비밀번호 입력 폼, 로그인 버튼, 비밀번호 찾기 링크가 표시됨",없음,브라우저에서 사이트 URL 접속,"로그인 폼이 표시됨. 배경 이미지와 함께 '유사호출부호 공유시스템' 타이틀, 이메일 입력란, 비밀번호 입력란, 로그인 버튼이 보임",
2,로그인,로그인 페이지,이메일 입력,이메일 입력란,"사용자의 이메일 주소를 입력하는 텍스트 필드",없음,이메일 입력란 클릭 후 이메일 주소 입력 (예: user@airline.com),"입력한 이메일이 필드에 표시됨. 올바르지 않은 형식 입력 시 유효성 검증 에러 메시지 표시",
3,로그인,로그인 페이지,비밀번호 입력,비밀번호 입력란,"비밀번호를 입력하는 필드. 입력값은 ●●●으로 마스킹됨",없음,비밀번호 입력란 클릭 후 비밀번호 입력,"입력값이 마스킹(●●●)되어 표시됨",
4,로그인,로그인 페이지,로그인 버튼,로그인 실행,"이메일과 비밀번호로 인증을 시도함. 성공 시 역할에 따라 다른 페이지로 이동",이메일/비밀번호 입력 완료,"'로그인' 버튼 클릭","[성공] 일반사용자→항공사 대시보드(/airline)로 이동, 관리자→호출부호관리(/callsign-management)로 이동. [실패] '이메일 또는 비밀번호가 올바르지 않습니다' 에러 메시지 표시",
5,로그인,로그인 페이지,로그인 실패,잘못된 정보 입력 시,"존재하지 않는 이메일 또는 틀린 비밀번호 입력 시 에러 처리",없음,잘못된 이메일/비밀번호 입력 후 로그인 버튼 클릭,"빨간색 에러 메시지가 로그인 폼 상단에 표시됨. '이메일 또는 비밀번호가 올바르지 않습니다' 또는 '계정이 정지되었습니다' 등",
6,로그인,로그인 페이지,비밀번호 찾기,비밀번호 찾기 링크,"비밀번호를 잊은 경우 재설정 요청 페이지로 이동",없음,"'비밀번호를 잊으셨나요?' 링크 클릭",비밀번호 찾기 페이지(/forgot-password)로 이동. 이메일 입력란과 전송 버튼이 표시됨,
7,로그인,비밀번호 찾기,이메일 입력,비밀번호 재설정 요청,"등록된 이메일로 비밀번호 재설정 링크를 전송함",비밀번호 찾기 페이지 접속,이메일 입력 후 '전송' 버튼 클릭,"'비밀번호 재설정 링크가 이메일로 전송되었습니다' 메시지 표시. 등록되지 않은 이메일이면 에러 메시지",
8,로그인,비밀번호 변경,최초 로그인 강제변경,최초 로그인 시 비밀번호 변경,"관리자가 생성한 임시 비밀번호로 최초 로그인 시 비밀번호 변경 화면으로 강제 이동",최초 로그인 (force_password_change=true),임시 비밀번호로 로그인,"비밀번호 변경 페이지로 자동 이동. '보안을 위해 비밀번호를 변경해주세요' 안내 메시지 표시. 현재 비밀번호, 새 비밀번호, 비밀번호 확인 입력란 표시",
9,로그인,비밀번호 변경,비밀번호 변경 실행,새 비밀번호 설정,"현재 비밀번호 확인 후 새 비밀번호로 변경",비밀번호 변경 페이지 접속,"현재 비밀번호 입력 → 새 비밀번호 입력 (4자 이상) → 비밀번호 확인 입력 → '변경' 버튼 클릭","[성공] '비밀번호가 변경되었습니다' 메시지 후 대시보드로 이동. [실패] 현재 비밀번호 불일치 시 에러, 새 비밀번호 조건 미충족 시 에러",
10,항공사 대시보드,메인 레이아웃,페이지 구조,항공사 대시보드 화면,"로그인 후 일반 사용자가 보는 메인 화면. 좌측 사이드바에 탭 메뉴, 우측에 콘텐츠 영역",일반사용자 로그인 완료,로그인 성공 후 자동 이동,"좌측에 4개 탭(발생현황/조치이력/통계/공지사항) 사이드바, 우측에 선택된 탭의 콘텐츠가 표시됨. 상단에 항공사명과 코드가 표시됨",
